STARTING FOR DT 80
WARNING: Your kernel does not support swap limit capabilities or the cgroup is not mounted. Memory limited without swap.
In-memory storage of 3-sequences enabled
Initializing the 2 object cache
Initializing the 3 object cache
06:30:08> ACT CON 3:       0 | ACT CON 5:       0 | FULL SEQ:       0 / 1860480 | MIN DV:      inf | REM: 1057.60 [MIN]
08:37:44> ACT CON 3:    6840 | ACT CON 5:   69711 | FULL SEQ:  219765 / 1860480 | MIN DV:  26293.8 | REM: 354.43 [MIN]
08:37:54> ACT CON 3:    6840 | ACT CON 5:   69989 | FULL SEQ:  220866 / 1860480 | MIN DV:  26293.8 | REM: 353.67 [MIN]
08:38:05> ACT CON 3:    6840 | ACT CON 5:   70265 | FULL SEQ:  221913 / 1860480 | MIN DV:  26293.8 | REM: 353.05 [MIN]
08:38:15> ACT CON 3:    6840 | ACT CON 5:   70548 | FULL SEQ:  223016 / 1860480 | MIN DV:  26293.8 | REM: 352.32 [MIN]
08:38:25> ACT CON 3:    6840 | ACT CON 5:   70826 | FULL SEQ:  223965 / 1860480 | MIN DV:  26293.8 | REM: 351.87 [MIN]
08:38:35> ACT CON 3:    6840 | ACT CON 5:   71098 | FULL SEQ:  225264 / 1860480 | MIN DV:  24464.9 | REM: 350.79 [MIN]
08:38:45> ACT CON 3:    6840 | ACT CON 5:   71379 | FULL SEQ:  226469 / 1860480 | MIN DV:  24464.9 | REM: 349.91 [MIN]
08:38:56> ACT CON 3:    6840 | ACT CON 5:   71652 | FULL SEQ:  227815 / 1860480 | MIN DV:  24464.9 | REM: 348.79 [MIN]
08:39:06> ACT CON 3:    6840 | ACT CON 5:   71928 | FULL SEQ:  229165 / 1860480 | MIN DV:  24464.9 | REM: 347.65 [MIN]
08:39:16> ACT CON 3:    6840 | ACT CON 5:   72211 | FULL SEQ:  230464 / 1860480 | MIN DV:  24464.9 | REM: 346.63 [MIN]
08:39:26> ACT CON 3:    6840 | ACT CON 5:   72477 | FULL SEQ:  231564 / 1860480 | MIN DV:  24464.9 | REM: 345.95 [MIN]
08:39:37> ACT CON 3:    6840 | ACT CON 5:   72745 | FULL SEQ:  232872 / 1860480 | MIN DV:  24464.9 | REM: 344.92 [MIN]
08:39:47> ACT CON 3:    6840 | ACT CON 5:   73017 | FULL SEQ:  234115 / 1860480 | MIN DV:  24464.9 | REM: 344.00 [MIN]
08:39:57> ACT CON 3:    6840 | ACT CON 5:   73291 | FULL SEQ:  235513 / 1860480 | MIN DV:  24464.9 | REM: 342.83 [MIN]
08:40:07> ACT CON 3:    6840 | ACT CON 5:   73561 | FULL SEQ:  236821 / 1860480 | MIN DV:  24464.9 | REM: 341.80 [MIN]
08:40:17> ACT CON 3:    6840 | ACT CON 5:   73835 | FULL SEQ:  238318 / 1860480 | MIN DV:  24464.9 | REM: 340.51 [MIN]
08:40:27> ACT CON 3:    6840 | ACT CON 5:   74109 | FULL SEQ:  239615 / 1860480 | MIN DV:  24464.9 | REM: 339.54 [MIN]
08:40:38> ACT CON 3:    6840 | ACT CON 5:   74381 | FULL SEQ:  240915 / 1860480 | MIN DV:  24464.9 | REM: 338.59 [MIN]
08:40:48> ACT CON 3:    6840 | ACT CON 5:   74665 | FULL SEQ:  242213 / 1860480 | MIN DV:  24464.9 | REM: 337.67 [MIN]
08:40:58> ACT CON 3:    6840 | ACT CON 5:   74931 | FULL SEQ:  243513 / 1860480 | MIN DV:  24464.9 | REM: 336.71 [MIN]
08:41:08> ACT CON 3:    6840 | ACT CON 5:   75214 | FULL SEQ:  244869 / 1860480 | MIN DV:  24464.9 | REM: 335.69 [MIN]
08:41:19> ACT CON 3:    6840 | ACT CON 5:   75482 | FULL SEQ:  246064 / 1860480 | MIN DV:  24464.9 | REM: 334.92 [MIN]
08:41:29> ACT CON 3:    6840 | ACT CON 5:   75758 | FULL SEQ:  247415 / 1860480 | MIN DV:  24464.9 | REM: 333.93 [MIN]
08:41:39> ACT CON 3:    6840 | ACT CON 5:   76029 | FULL SEQ:  248864 / 1860480 | MIN DV:  24464.9 | REM: 332.79 [MIN]
08:41:49> ACT CON 3:    6840 | ACT CON 5:   76306 | FULL SEQ:  250164 / 1860480 | MIN DV:  24464.9 | REM: 331.89 [MIN]
08:41:59> ACT CON 3:    6840 | ACT CON 5:   76574 | FULL SEQ:  251463 / 1860480 | MIN DV:  24464.9 | REM: 330.98 [MIN]
08:42:09> ACT CON 3:    6840 | ACT CON 5:   76848 | FULL SEQ:  252866 / 1860480 | MIN DV:  24464.9 | REM: 329.92 [MIN]
08:42:19> ACT CON 3:    6840 | ACT CON 5:   77116 | FULL SEQ:  254216 / 1860480 | MIN DV:  24464.9 | REM: 328.96 [MIN]
08:42:30> ACT CON 3:    6840 | ACT CON 5:   77395 | FULL SEQ:  255413 / 1860480 | MIN DV:  24464.9 | REM: 328.27 [MIN]
08:42:40> ACT CON 3:    6840 | ACT CON 5:   77671 | FULL SEQ:  256714 / 1860480 | MIN DV:  24464.9 | REM: 327.40 [MIN]
08:42:50> ACT CON 3:    6840 | ACT CON 5:   77934 | FULL SEQ:  257864 / 1860480 | MIN DV:  24464.9 | REM: 326.76 [MIN]
08:43:00> ACT CON 3:    6840 | ACT CON 5:   78200 | FULL SEQ:  259265 / 1860480 | MIN DV:  24464.9 | REM: 325.74 [MIN]
08:43:11> ACT CON 3:    6840 | ACT CON 5:   78480 | FULL SEQ:  260513 / 1860480 | MIN DV:  24464.9 | REM: 324.98 [MIN]
08:43:21> ACT CON 3:    6840 | ACT CON 5:   78758 | FULL SEQ:  261865 / 1860480 | MIN DV:  24464.9 | REM: 324.07 [MIN]
08:43:31> ACT CON 3:    6840 | ACT CON 5:   79044 | FULL SEQ:  263213 / 1860480 | MIN DV:  24464.9 | REM: 323.22 [MIN]
08:43:42> ACT CON 3:    6840 | ACT CON 5:   79315 | FULL SEQ:  264514 / 1860480 | MIN DV:  24464.9 | REM: 322.41 [MIN]
08:43:52> ACT CON 3:    6840 | ACT CON 5:   79592 | FULL SEQ:  265913 / 1860480 | MIN DV:  24464.9 | REM: 321.46 [MIN]
08:44:02> ACT CON 3:    6840 | ACT CON 5:   79861 | FULL SEQ:  267163 / 1860480 | MIN DV:  24464.9 | REM: 320.70 [MIN]
08:44:12> ACT CON 3:    6840 | ACT CON 5:   80138 | FULL SEQ:  268464 / 1860480 | MIN DV:  24464.9 | REM: 319.88 [MIN]
08:44:22> ACT CON 3:    6840 | ACT CON 5:   80409 | FULL SEQ:  269813 / 1860480 | MIN DV:  24464.9 | REM: 319.00 [MIN]
08:44:33> ACT CON 3:    6840 | ACT CON 5:   80679 | FULL SEQ:  271014 / 1860480 | MIN DV:  24464.9 | REM: 318.35 [MIN]
08:44:43> ACT CON 3:    6840 | ACT CON 5:   80953 | FULL SEQ:  272463 / 1860480 | MIN DV:  24464.9 | REM: 317.35 [MIN]
08:44:53> ACT CON 3:    6840 | ACT CON 5:   81226 | FULL SEQ:  273714 / 1860480 | MIN DV:  24464.9 | REM: 316.62 [MIN]
08:45:03> ACT CON 3:    6840 | ACT CON 5:   81491 | FULL SEQ:  275164 / 1860480 | MIN DV:  24464.9 | REM: 315.63 [MIN]
08:45:13> ACT CON 3:    6840 | ACT CON 5:   81759 | FULL SEQ:  276565 / 1860480 | MIN DV:  24464.9 | REM: 314.71 [MIN]
08:45:23> ACT CON 3:    6840 | ACT CON 5:   82036 | FULL SEQ:  277816 / 1860480 | MIN DV:  24464.9 | REM: 314.02 [MIN]
08:45:33> ACT CON 3:    6840 | ACT CON 5:   82314 | FULL SEQ:  279115 / 1860480 | MIN DV:  24464.9 | REM: 313.28 [MIN]
08:45:44> ACT CON 3:    6840 | ACT CON 5:   82589 | FULL SEQ:  280514 / 1860480 | MIN DV:  24464.9 | REM: 312.40 [MIN]
08:45:54> ACT CON 3:    6840 | ACT CON 5:   82854 | FULL SEQ:  281814 / 1860480 | MIN DV:  24464.9 | REM: 311.65 [MIN]
08:46:04> ACT CON 3:    6840 | ACT CON 5:   83131 | FULL SEQ:  283119 / 1860480 | MIN DV:  24464.9 | REM: 310.89 [MIN]
08:46:14> ACT CON 3:    6840 | ACT CON 5:   83407 | FULL SEQ:  284514 / 1860480 | MIN DV:  24464.9 | REM: 310.05 [MIN]
08:46:24> ACT CON 3:    6840 | ACT CON 5:   83682 | FULL SEQ:  285716 / 1860480 | MIN DV:  24464.9 | REM: 309.44 [MIN]
08:46:34> ACT CON 3:    6840 | ACT CON 5:   83956 | FULL SEQ:  287163 / 1860480 | MIN DV:  24464.9 | REM: 308.53 [MIN]
08:46:44> ACT CON 3:    6840 | ACT CON 5:   84223 | FULL SEQ:  288417 / 1860480 | MIN DV:  24464.9 | REM: 307.85 [MIN]
08:46:55> ACT CON 3:    6840 | ACT CON 5:   84493 | FULL SEQ:  289713 / 1860480 | MIN DV:  24464.9 | REM: 307.14 [MIN]
08:47:05> ACT CON 3:    6840 | ACT CON 5:   84764 | FULL SEQ:  290914 / 1860480 | MIN DV:  24464.9 | REM: 306.54 [MIN]
08:47:15> ACT CON 3:    6840 | ACT CON 5:   85043 | FULL SEQ:  292363 / 1860480 | MIN DV:  24464.9 | REM: 305.68 [MIN]
08:47:26> ACT CON 3:    6840 | ACT CON 5:   85329 | FULL SEQ:  293613 / 1860480 | MIN DV:  24464.9 | REM: 305.07 [MIN]
08:47:36> ACT CON 3:    6840 | ACT CON 5:   85598 | FULL SEQ:  294863 / 1860480 | MIN DV:  24464.9 | REM: 304.42 [MIN]
08:47:46> ACT CON 3:    6840 | ACT CON 5:   85875 | FULL SEQ:  296213 / 1860480 | MIN DV:  24464.9 | REM: 303.66 [MIN]
08:47:56> ACT CON 3:    6840 | ACT CON 5:   86156 | FULL SEQ:  297563 / 1860480 | MIN DV:  24464.9 | REM: 302.93 [MIN]
08:48:06> ACT CON 3:    6840 | ACT CON 5:   86432 | FULL SEQ:  298913 / 1860480 | MIN DV:  24464.9 | REM: 302.18 [MIN]
08:48:17> ACT CON 3:    6840 | ACT CON 5:   86718 | FULL SEQ:  300313 / 1860480 | MIN DV:  24464.9 | REM: 301.40 [MIN]
08:48:27> ACT CON 3:    6840 | ACT CON 5:   86995 | FULL SEQ:  301616 / 1860480 | MIN DV:  24464.9 | REM: 300.72 [MIN]
08:48:37> ACT CON 3:    6840 | ACT CON 5:   87270 | FULL SEQ:  303025 / 1860480 | MIN DV:  24464.9 | REM: 299.93 [MIN]
08:48:47> ACT CON 3:    6840 | ACT CON 5:   87550 | FULL SEQ:  304265 / 1860480 | MIN DV:  24464.9 | REM: 299.34 [MIN]
08:48:57> ACT CON 3:    6840 | ACT CON 5:   87824 | FULL SEQ:  305563 / 1860480 | MIN DV:  24464.9 | REM: 298.68 [MIN]
08:49:08> ACT CON 3:    6840 | ACT CON 5:   88101 | FULL SEQ:  306913 / 1860480 | MIN DV:  24464.9 | REM: 297.98 [MIN]
08:49:18> ACT CON 3:    6840 | ACT CON 5:   88375 | FULL SEQ:  308266 / 1860480 | MIN DV:  24464.9 | REM: 297.26 [MIN]
08:49:28> ACT CON 3:    6840 | ACT CON 5:   88653 | FULL SEQ:  309765 / 1860480 | MIN DV:  24464.9 | REM: 296.37 [MIN]
08:49:38> ACT CON 3:    6840 | ACT CON 5:   88924 | FULL SEQ:  311114 / 1860480 | MIN DV:  24464.9 | REM: 295.68 [MIN]
08:49:48> ACT CON 3:    6840 | ACT CON 5:   89194 | FULL SEQ:  312367 / 1860480 | MIN DV:  24464.9 | REM: 295.08 [MIN]
08:49:58> ACT CON 3:    6840 | ACT CON 5:   89478 | FULL SEQ:  313714 / 1860480 | MIN DV:  24464.9 | REM: 294.42 [MIN]
08:50:09> ACT CON 3:    6840 | ACT CON 5:   89749 | FULL SEQ:  315063 / 1860480 | MIN DV:  24464.9 | REM: 293.74 [MIN]
08:50:19> ACT CON 3:    6840 | ACT CON 5:   90025 | FULL SEQ:  316514 / 1860480 | MIN DV:  24464.9 | REM: 292.94 [MIN]
08:50:29> ACT CON 3:    6840 | ACT CON 5:   90290 | FULL SEQ:  317813 / 1860480 | MIN DV:  24464.9 | REM: 292.31 [MIN]
08:50:39> ACT CON 3:    6840 | ACT CON 5:   90554 | FULL SEQ:  319065 / 1860480 | MIN DV:  24464.9 | REM: 291.74 [MIN]
08:50:49> ACT CON 3:    6840 | ACT CON 5:   90829 | FULL SEQ:  320424 / 1860480 | MIN DV:  24464.9 | REM: 291.07 [MIN]
08:51:00> ACT CON 3:    6840 | ACT CON 5:   91103 | FULL SEQ:  321624 / 1860480 | MIN DV:  24464.9 | REM: 290.57 [MIN]
08:51:10> ACT CON 3:    6840 | ACT CON 5:   91356 | FULL SEQ:  322713 / 1860480 | MIN DV:  24464.9 | REM: 290.19 [MIN]
08:51:20> ACT CON 3:    6840 | ACT CON 5:   91630 | FULL SEQ:  323869 / 1860480 | MIN DV:  24464.9 | REM: 289.75 [MIN]
08:51:31> ACT CON 3:    6840 | ACT CON 5:   91919 | FULL SEQ:  325263 / 1860480 | MIN DV:  24464.9 | REM: 289.08 [MIN]
08:51:41> ACT CON 3:    6840 | ACT CON 5:   92194 | FULL SEQ:  326618 / 1860480 | MIN DV:  24464.9 | REM: 288.42 [MIN]
08:51:51> ACT CON 3:    6840 | ACT CON 5:   92461 | FULL SEQ:  327965 / 1860480 | MIN DV:  24464.9 | REM: 287.78 [MIN]
08:52:01> ACT CON 3:    6840 | ACT CON 5:   92726 | FULL SEQ:  329164 / 1860480 | MIN DV:  24464.9 | REM: 287.30 [MIN]
08:52:11> ACT CON 3:    6840 | ACT CON 5:   93007 | FULL SEQ:  330418 / 1860480 | MIN DV:  24464.9 | REM: 286.77 [MIN]
08:52:21> ACT CON 3:    6840 | ACT CON 5:   93275 | FULL SEQ:  331764 / 1860480 | MIN DV:  24464.9 | REM: 286.13 [MIN]
08:52:32> ACT CON 3:    6840 | ACT CON 5:   93551 | FULL SEQ:  333017 / 1860480 | MIN DV:  24464.9 | REM: 285.59 [MIN]
08:52:42> ACT CON 3:    6840 | ACT CON 5:   93831 | FULL SEQ:  334419 / 1860480 | MIN DV:  24464.9 | REM: 284.92 [MIN]
08:52:52> ACT CON 3:    6840 | ACT CON 5:   94096 | FULL SEQ:  335663 / 1860480 | MIN DV:  24464.9 | REM: 284.40 [MIN]
08:53:02> ACT CON 3:    6840 | ACT CON 5:   94367 | FULL SEQ:  336964 / 1860480 | MIN DV:  24464.9 | REM: 283.82 [MIN]
08:53:12> ACT CON 3:    6840 | ACT CON 5:   94634 | FULL SEQ:  338213 / 1860480 | MIN DV:  24464.9 | REM: 283.30 [MIN]
08:53:22> ACT CON 3:    6840 | ACT CON 5:   94904 | FULL SEQ:  339426 / 1860480 | MIN DV:  24464.9 | REM: 282.83 [MIN]
08:53:33> ACT CON 3:    6840 | ACT CON 5:   95175 | FULL SEQ:  340614 / 1860480 | MIN DV:  24464.9 | REM: 282.37 [MIN]
08:53:43> ACT CON 3:    6840 | ACT CON 5:   95450 | FULL SEQ:  341915 / 1860480 | MIN DV:  24464.9 | REM: 281.81 [MIN]
08:53:53> ACT CON 3:    6840 | ACT CON 5:   95727 | FULL SEQ:  343465 / 1860480 | MIN DV:  24464.9 | REM: 280.99 [MIN]
08:54:03> ACT CON 3:    6840 | ACT CON 5:   95999 | FULL SEQ:  344914 / 1860480 | MIN DV:  24464.9 | REM: 280.28 [MIN]
08:54:13> ACT CON 3:    6840 | ACT CON 5:   96274 | FULL SEQ:  346114 / 1860480 | MIN DV:  24464.9 | REM: 279.85 [MIN]
08:54:23> ACT CON 3:    6840 | ACT CON 5:   96546 | FULL SEQ:  347472 / 1860480 | MIN DV:  24464.9 | REM: 279.24 [MIN]
08:54:34> ACT CON 3:    6840 | ACT CON 5:   96820 | FULL SEQ:  348815 / 1860480 | MIN DV:  24464.9 | REM: 278.68 [MIN]
08:54:44> ACT CON 3:    6840 | ACT CON 5:   97088 | FULL SEQ:  350115 / 1860480 | MIN DV:  24464.9 | REM: 278.12 [MIN]
08:54:54> ACT CON 3:    6840 | ACT CON 5:   97363 | FULL SEQ:  351467 / 1860480 | MIN DV:  24464.9 | REM: 277.54 [MIN]
08:55:04> ACT CON 3:    6840 | ACT CON 5:   97631 | FULL SEQ:  352813 / 1860480 | MIN DV:  24464.9 | REM: 276.95 [MIN]
08:55:14> ACT CON 3:    6840 | ACT CON 5:   97911 | FULL SEQ:  354173 / 1860480 | MIN DV:  24464.9 | REM: 276.36 [MIN]
08:55:25> ACT CON 3:    6840 | ACT CON 5:   98184 | FULL SEQ:  355569 / 1860480 | MIN DV:  24464.9 | REM: 275.74 [MIN]
08:55:35> ACT CON 3:    6840 | ACT CON 5:   98444 | FULL SEQ:  356964 / 1860480 | MIN DV:  24464.9 | REM: 275.12 [MIN]
08:55:45> ACT CON 3:    6840 | ACT CON 5:   98711 | FULL SEQ:  358214 / 1860480 | MIN DV:  24464.9 | REM: 274.65 [MIN]
08:55:55> ACT CON 3:    6840 | ACT CON 5:   98988 | FULL SEQ:  359520 / 1860480 | MIN DV:  24464.9 | REM: 274.14 [MIN]
08:56:06> ACT CON 3:    6840 | ACT CON 5:   99258 | FULL SEQ:  360868 / 1860480 | MIN DV:  24464.9 | REM: 273.57 [MIN]
08:56:16> ACT CON 3:    6840 | ACT CON 5:   99524 | FULL SEQ:  362114 / 1860480 | MIN DV:  24464.9 | REM: 273.09 [MIN]
08:56:26> ACT CON 3:    6840 | ACT CON 5:   99792 | FULL SEQ:  363470 / 1860480 | MIN DV:  24464.9 | REM: 272.52 [MIN]
08:56:36> ACT CON 3:    6840 | ACT CON 5:  100069 | FULL SEQ:  364813 / 1860480 | MIN DV:  24464.9 | REM: 271.97 [MIN]
08:56:46> ACT CON 3:    6840 | ACT CON 5:  100340 | FULL SEQ:  366213 / 1860480 | MIN DV:  24464.9 | REM: 271.37 [MIN]
08:56:56> ACT CON 3:    6840 | ACT CON 5:  100613 | FULL SEQ:  367463 / 1860480 | MIN DV:  24464.9 | REM: 270.90 [MIN]
08:57:06> ACT CON 3:    6840 | ACT CON 5:  100887 | FULL SEQ:  368771 / 1860480 | MIN DV:  24464.9 | REM: 270.40 [MIN]
08:57:17> ACT CON 3:    6840 | ACT CON 5:  101150 | FULL SEQ:  370116 / 1860480 | MIN DV:  24464.9 | REM: 269.86 [MIN]
08:57:27> ACT CON 3:    6840 | ACT CON 5:  101423 | FULL SEQ:  371416 / 1860480 | MIN DV:  24464.9 | REM: 269.36 [MIN]
08:57:37> ACT CON 3:    6840 | ACT CON 5:  101693 | FULL SEQ:  372766 / 1860480 | MIN DV:  24464.9 | REM: 268.82 [MIN]
08:57:47> ACT CON 3:    6840 | ACT CON 5:  101956 | FULL SEQ:  374014 / 1860480 | MIN DV:  24464.9 | REM: 268.36 [MIN]
08:57:57> ACT CON 3:    6840 | ACT CON 5:  102228 | FULL SEQ:  375396 / 1860480 | MIN DV:  24464.9 | REM: 267.81 [MIN]
08:58:08> ACT CON 3:    6840 | ACT CON 5:  102518 | FULL SEQ:  376764 / 1860480 | MIN DV:  24464.9 | REM: 267.27 [MIN]
08:58:18> ACT CON 3:    6840 | ACT CON 5:  102803 | FULL SEQ:  378121 / 1860480 | MIN DV:  24464.9 | REM: 266.76 [MIN]
08:58:28> ACT CON 3:    6840 | ACT CON 5:  103070 | FULL SEQ:  379464 / 1860480 | MIN DV:  24464.9 | REM: 266.23 [MIN]
08:58:39> ACT CON 3:    6840 | ACT CON 5:  103351 | FULL SEQ:  380664 / 1860480 | MIN DV:  24464.9 | REM: 265.84 [MIN]
08:58:49> ACT CON 3:    6840 | ACT CON 5:  103621 | FULL SEQ:  382016 / 1860480 | MIN DV:  24464.9 | REM: 265.32 [MIN]
08:58:59> ACT CON 3:    6840 | ACT CON 5:  103896 | FULL SEQ:  383363 / 1860480 | MIN DV:  24464.9 | REM: 264.81 [MIN]
08:59:10> ACT CON 3:    6840 | ACT CON 5:  104166 | FULL SEQ:  384564 / 1860480 | MIN DV:  24464.9 | REM: 264.42 [MIN]
08:59:20> ACT CON 3:    6840 | ACT CON 5:  104445 | FULL SEQ:  385964 / 1860480 | MIN DV:  24464.9 | REM: 263.87 [MIN]
08:59:30> ACT CON 3:    6840 | ACT CON 5:  104715 | FULL SEQ:  387215 / 1860480 | MIN DV:  24464.9 | REM: 263.44 [MIN]
08:59:40> ACT CON 3:    6840 | ACT CON 5:  104983 | FULL SEQ:  388466 / 1860480 | MIN DV:  24464.9 | REM: 263.01 [MIN]
08:59:50> ACT CON 3:    6840 | ACT CON 5:  105255 | FULL SEQ:  389864 / 1860480 | MIN DV:  24464.9 | REM: 262.44 [MIN]
09:00:00> ACT CON 3:    6840 | ACT CON 5:  105535 | FULL SEQ:  391264 / 1860480 | MIN DV:  24464.9 | REM: 261.90 [MIN]
09:00:11> ACT CON 3:    6840 | ACT CON 5:  105807 | FULL SEQ:  392482 / 1860480 | MIN DV:  24464.9 | REM: 261.50 [MIN]
09:00:21> ACT CON 3:    6840 | ACT CON 5:  106077 | FULL SEQ:  393914 / 1860480 | MIN DV:  24464.9 | REM: 260.92 [MIN]
09:00:31> ACT CON 3:    6840 | ACT CON 5:  106357 | FULL SEQ:  395167 / 1860480 | MIN DV:  24464.9 | REM: 260.50 [MIN]
09:00:41> ACT CON 3:    6840 | ACT CON 5:  106626 | FULL SEQ:  396414 / 1860480 | MIN DV:  24464.9 | REM: 260.08 [MIN]
09:00:51> ACT CON 3:    6840 | ACT CON 5:  106886 | FULL SEQ:  397672 / 1860480 | MIN DV:  24464.9 | REM: 259.64 [MIN]
09:01:01> ACT CON 3:    6840 | ACT CON 5:  107156 | FULL SEQ:  399071 / 1860480 | MIN DV:  24464.9 | REM: 259.11 [MIN]
09:01:11> ACT CON 3:    6840 | ACT CON 5:  107427 | FULL SEQ:  400516 / 1860480 | MIN DV:  24464.9 | REM: 258.54 [MIN]
09:01:22> ACT CON 3:    6840 | ACT CON 5:  107704 | FULL SEQ:  401863 / 1860480 | MIN DV:  24464.9 | REM: 258.06 [MIN]
09:01:32> ACT CON 3:    6840 | ACT CON 5:  107974 | FULL SEQ:  403215 / 1860480 | MIN DV:  24464.9 | REM: 257.58 [MIN]
09:01:42> ACT CON 3:    6840 | ACT CON 5:  108234 | FULL SEQ:  404485 / 1860480 | MIN DV:  24464.9 | REM: 257.15 [MIN]
09:01:52> ACT CON 3:    6840 | ACT CON 5:  108507 | FULL SEQ:  405867 / 1860480 | MIN DV:  24464.9 | REM: 256.65 [MIN]
09:02:02> ACT CON 3:    6840 | ACT CON 5:  108757 | FULL SEQ:  407115 / 1860480 | MIN DV:  24464.9 | REM: 256.25 [MIN]
09:02:13> ACT CON 3:    6840 | ACT CON 5:  109032 | FULL SEQ:  408564 / 1860480 | MIN DV:  24464.9 | REM: 255.70 [MIN]
09:02:23> ACT CON 3:    6840 | ACT CON 5:  109298 | FULL SEQ:  409764 / 1860480 | MIN DV:  24464.9 | REM: 255.33 [MIN]
09:02:33> ACT CON 3:    6840 | ACT CON 5:  109581 | FULL SEQ:  411166 / 1860480 | MIN DV:  24464.9 | REM: 254.83 [MIN]
09:02:43> ACT CON 3:    6840 | ACT CON 5:  109852 | FULL SEQ:  412465 / 1860480 | MIN DV:  24464.9 | REM: 254.39 [MIN]
09:02:54> ACT CON 3:    6840 | ACT CON 5:  110123 | FULL SEQ:  413768 / 1860480 | MIN DV:  24464.9 | REM: 253.95 [MIN]
09:03:04> ACT CON 3:    6840 | ACT CON 5:  110403 | FULL SEQ:  415214 / 1860480 | MIN DV:  24464.9 | REM: 253.41 [MIN]
09:03:14> ACT CON 3:    6840 | ACT CON 5:  110683 | FULL SEQ:  416513 / 1860480 | MIN DV:  24464.9 | REM: 253.00 [MIN]
09:03:25> ACT CON 3:    6840 | ACT CON 5:  110964 | FULL SEQ:  418015 / 1860480 | MIN DV:  24464.9 | REM: 252.42 [MIN]
09:03:35> ACT CON 3:    6840 | ACT CON 5:  111237 | FULL SEQ:  419318 / 1860480 | MIN DV:  24464.9 | REM: 252.00 [MIN]
09:03:45> ACT CON 3:    6840 | ACT CON 5:  111511 | FULL SEQ:  420614 / 1860480 | MIN DV:  24464.9 | REM: 251.57 [MIN]
09:03:55> ACT CON 3:    6840 | ACT CON 5:  111783 | FULL SEQ:  421914 / 1860480 | MIN DV:  24464.9 | REM: 251.15 [MIN]
09:04:05> ACT CON 3:    6840 | ACT CON 5:  112052 | FULL SEQ:  423165 / 1860480 | MIN DV:  24464.9 | REM: 250.76 [MIN]
09:04:15> ACT CON 3:    6840 | ACT CON 5:  112319 | FULL SEQ:  424521 / 1860480 | MIN DV:  24464.9 | REM: 250.29 [MIN]
09:04:26> ACT CON 3:    6840 | ACT CON 5:  112598 | FULL SEQ:  425763 / 1860480 | MIN DV:  24464.9 | REM: 249.93 [MIN]
09:04:36> ACT CON 3:    6840 | ACT CON 5:  112868 | FULL SEQ:  427173 / 1860480 | MIN DV:  24464.9 | REM: 249.42 [MIN]
09:04:46> ACT CON 3:    6840 | ACT CON 5:  113137 | FULL SEQ:  428416 / 1860480 | MIN DV:  24464.9 | REM: 249.04 [MIN]
09:04:56> ACT CON 3:    6840 | ACT CON 5:  113405 | FULL SEQ:  429717 / 1860480 | MIN DV:  24464.9 | REM: 248.62 [MIN]
09:05:06> ACT CON 3:    6840 | ACT CON 5:  113664 | FULL SEQ:  430914 / 1860480 | MIN DV:  24464.9 | REM: 248.28 [MIN]
09:05:16> ACT CON 3:    6840 | ACT CON 5:  113928 | FULL SEQ:  432264 / 1860480 | MIN DV:  24464.9 | REM: 247.83 [MIN]
09:05:26> ACT CON 3:    6840 | ACT CON 5:  114195 | FULL SEQ:  433518 / 1860480 | MIN DV:  24464.9 | REM: 247.44 [MIN]
09:05:36> ACT CON 3:    6840 | ACT CON 5:  114460 | FULL SEQ:  434814 / 1860480 | MIN DV:  24464.9 | REM: 247.03 [MIN]
09:05:46> ACT CON 3:    6840 | ACT CON 5:  114733 | FULL SEQ:  436315 / 1860480 | MIN DV:  24464.9 | REM: 246.48 [MIN]
09:05:57> ACT CON 3:    6840 | ACT CON 5:  115002 | FULL SEQ:  437613 / 1860480 | MIN DV:  24464.9 | REM: 246.07 [MIN]
09:06:07> ACT CON 3:    6840 | ACT CON 5:  115271 | FULL SEQ:  438863 / 1860480 | MIN DV:  24464.9 | REM: 245.70 [MIN]
09:06:17> ACT CON 3:    6840 | ACT CON 5:  115554 | FULL SEQ:  440164 / 1860480 | MIN DV:  24464.9 | REM: 245.31 [MIN]
09:06:28> ACT CON 3:    6840 | ACT CON 5:  115834 | FULL SEQ:  441565 / 1860480 | MIN DV:  24464.9 | REM: 244.85 [MIN]
09:06:38> ACT CON 3:    6840 | ACT CON 5:  116104 | FULL SEQ:  442763 / 1860480 | MIN DV:  24464.9 | REM: 244.52 [MIN]
09:06:48> ACT CON 3:    6840 | ACT CON 5:  116378 | FULL SEQ:  443967 / 1860480 | MIN DV:  24464.9 | REM: 244.18 [MIN]
09:06:58> ACT CON 3:    6840 | ACT CON 5:  116652 | FULL SEQ:  445313 / 1860480 | MIN DV:  24464.9 | REM: 243.74 [MIN]
09:07:08> ACT CON 3:    6840 | ACT CON 5:  116917 | FULL SEQ:  446616 / 1860480 | MIN DV:  24464.9 | REM: 243.34 [MIN]
09:07:18> ACT CON 3:    6840 | ACT CON 5:  117190 | FULL SEQ:  447914 / 1860480 | MIN DV:  24464.9 | REM: 242.94 [MIN]
09:07:28> ACT CON 3:    6840 | ACT CON 5:  117464 | FULL SEQ:  449117 / 1860480 | MIN DV:  24464.9 | REM: 242.62 [MIN]
09:07:38> ACT CON 3:    6840 | ACT CON 5:  117733 | FULL SEQ:  450363 / 1860480 | MIN DV:  24464.9 | REM: 242.26 [MIN]
